127.0.0.1 - - [04/Sep/2026 18:30:18] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:06] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /css/ui.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/engine/core.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/save/save_system.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/dialogue/dialogue.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/audio/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/inventory/inventory.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/scenes/scene_renderer.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/player/stats.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/quests/quest_manager.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/grammar/grammar_engine.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/ui/modal.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /js/ui/hud.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /data/languages/languages.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /data/scenes/districts.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /data/vocabulary/objects.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /data/npcs/npcs.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /data/quests/quests.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:31:07] "GET /data/grammar/grammar.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /css/ui.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/engine/core.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/save/save_system.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/inventory/inventory.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/player/stats.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/audio/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/dialogue/dialogue.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/scenes/scene_renderer.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/quests/quest_manager.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/ui/hud.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/ui/modal.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /js/grammar/grammar_engine.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /data/vocabulary/objects.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /data/npcs/npcs.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /data/quests/quests.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /data/scenes/districts.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /data/languages/languages.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:32:03] "GET /data/grammar/grammar.json HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:33:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:33:26] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Sep/2026 18:33:26] "GET /css/ui.css HTTP/1.1" 200 -
